Fecha,Temperatura (K),Humedad (%),Presion (Pa),MAC Address,Alias
2025-12-03 16:31:10,295.51,58.02,81553,24:D7:EB:59:2E:30,---
2025-12-03 16:31:10,295.51,58.01,81550,24:D7:EB:59:2E:30,---
2025-12-03 16:31:11,295.51,58.01,81551,24:D7:EB:59:2E:30,---
2025-12-03 16:31:11,295.51,58.0,81551,24:D7:EB:59:2E:30,---
2025-12-03 16:31:12,295.51,58.01,81552,24:D7:EB:59:2E:30,---
2025-12-03 16:31:13,295.51,58.01,81549,24:D7:EB:59:2E:30,---
2025-12-03 16:31:13,295.51,58.0,81553,24:D7:EB:59:2E:30,---
2025-12-03 16:31:14,295.51,58.0,81551,24:D7:EB:59:2E:30,---
2025-12-03 16:31:14,295.51,58.01,81554,24:D7:EB:59:2E:30,---
2025-12-03 16:31:15,295.50,58.01,81551,24:D7:EB:59:2E:30,---
2025-12-03 16:31:15,295.50,58.01,81549,24:D7:EB:59:2E:30,---
2025-12-03 16:31:16,295.51,58.01,81551,24:D7:EB:59:2E:30,---
2025-12-03 16:31:16,295.51,58.01,81552,24:D7:EB:59:2E:30,---
2025-12-03 16:31:17,295.50,58.01,81551,24:D7:EB:59:2E:30,---
2025-12-03 16:31:17,295.51,58.01,81553,24:D7:EB:59:2E:30,---
2025-12-03 16:31:18,295.50,58.01,81554,24:D7:EB:59:2E:30,---
2025-12-03 16:31:18,295.50,58.01,81550,24:D7:EB:59:2E:30,---
2025-12-03 16:31:19,295.50,58.02,81553,24:D7:EB:59:2E:30,---
2025-12-03 16:31:19,295.51,58.01,81552,24:D7:EB:59:2E:30,---
2025-12-03 16:31:20,295.51,58.01,81553,24:D7:EB:59:2E:30,---
2025-12-03 16:31:20,295.50,58.02,81553,24:D7:EB:59:2E:30,---
2025-12-03 16:31:21,295.50,58.02,81552,24:D7:EB:59:2E:30,---
2025-12-03 16:31:22,295.50,58.02,81556,24:D7:EB:59:2E:30,---
2025-12-03 16:31:22,295.51,58.02,81557,24:D7:EB:59:2E:30,---
2025-12-03 16:31:23,295.51,58.02,81555,24:D7:EB:59:2E:30,---
2025-12-03 16:31:23,295.52,58.02,81555,24:D7:EB:59:2E:30,---
2025-12-03 16:35:18,295.48,58.25,81555,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:18,295.49,58.26,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:19,295.48,58.24,81552,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:19,295.48,58.23,81554,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:20,295.48,58.22,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:20,295.50,58.21,81554,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:21,295.49,58.2,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:21,295.49,58.19,81554,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:22,295.50,58.2,81556,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:23,295.50,58.18,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:23,295.49,58.18,81554,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:24,295.50,58.18,81550,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:24,295.50,58.17,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:25,295.49,58.15,81555,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:25,295.51,58.16,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:26,295.50,58.14,81551,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:26,295.49,58.14,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:27,295.51,58.13,81556,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:27,295.50,58.12,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:28,295.51,58.12,81554,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:28,295.50,58.12,81556,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:29,295.50,58.12,81551,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:29,295.50,58.11,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:30,295.50,58.11,81557,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:30,295.51,58.1,81555,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:31,295.50,58.11,81554,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:32,295.50,58.1,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:32,295.50,58.1,81556,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:33,295.50,58.1,81552,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:33,295.51,58.09,81558,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:34,295.50,58.1,81552,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:34,295.50,58.09,81555,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:35,295.51,58.09,81552,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:35,295.50,58.09,81549,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:36,295.50,58.09,81555,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:36,295.51,58.09,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:37,295.50,58.09,81555,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:37,295.50,58.09,81551,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:38,295.51,58.08,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:38,295.51,58.08,81551,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:42,295.50,58.07,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:43,295.51,58.07,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:43,295.51,58.08,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:44,295.50,58.07,81556,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:44,295.51,58.07,81556,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:45,295.51,58.06,81556,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:45,295.51,58.06,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:46,295.52,58.06,81556,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:46,295.51,58.06,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:47,295.51,58.05,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:47,295.52,58.05,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:48,295.51,58.05,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:48,295.51,58.05,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:49,295.52,58.03,81556,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:50,295.52,58.06,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:50,295.53,58.05,81556,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:51,295.52,58.05,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:51,295.52,58.05,81557,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:52,295.52,58.03,81556,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:52,295.52,58.05,81557,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:53,295.52,58.03,81557,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:53,295.52,58.03,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:54,295.52,58.03,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:54,295.51,58.02,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:55,295.52,58.01,81557,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:55,295.52,58.02,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:56,295.52,58.01,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:56,295.52,58.01,81557,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:57,295.53,58.01,81556,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:57,295.52,58.01,81560,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:58,295.52,58.01,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:59,295.52,58.01,81559,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:59,295.52,58.01,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:00,295.53,58.01,81559,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:00,295.52,58.01,81556,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:01,295.52,58.01,81557,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:01,295.52,58.0,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:02,295.52,58.01,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:02,295.52,58.0,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:03,295.53,58.01,81557,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:03,295.52,58.0,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:04,295.52,58.0,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:04,295.52,58.0,81557,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:05,295.52,58.0,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:05,295.53,58.0,81556,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:06,295.53,58.0,81556,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:07,295.52,58.0,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:07,295.52,57.99,81556,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:08,295.52,57.99,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:08,295.52,57.99,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:09,295.52,57.98,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:09,295.52,57.99,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:10,295.52,57.99,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:10,295.52,58.0,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:11,295.52,57.99,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:11,295.52,57.99,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:12,295.52,57.99,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:12,295.52,57.99,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:13,295.52,58.0,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:13,295.52,58.0,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:14,295.52,57.99,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:14,295.52,57.99,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:15,295.52,58.0,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:16,295.52,58.0,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:16,295.52,58.0,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:17,295.52,57.99,81556,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:17,295.52,57.99,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:18,295.52,57.98,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:18,295.53,57.99,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:19,295.52,57.98,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:19,295.52,57.98,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:20,295.52,57.98,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:20,295.53,57.99,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:21,295.52,57.98,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:21,295.53,57.98,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:22,295.52,57.97,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:22,295.52,57.98,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:23,295.53,57.98,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:23,295.52,57.97,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:24,295.52,57.98,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:25,295.52,57.97,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:25,295.52,57.97,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:26,295.52,57.97,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:26,295.52,57.97,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:27,295.53,57.97,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:27,295.53,57.97,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:28,295.54,57.97,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:28,295.52,57.97,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:29,295.54,57.97,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:29,295.52,57.97,81557,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:30,295.53,57.97,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:30,295.53,57.97,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:31,295.53,57.96,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:31,295.52,57.96,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:32,295.52,57.96,81546,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:33,295.53,57.96,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:33,295.54,57.96,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:34,295.53,57.96,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:34,295.53,57.97,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:35,295.54,57.97,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:35,295.53,57.97,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:36,295.53,57.97,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:36,295.53,57.97,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:37,295.53,57.96,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:37,295.53,57.96,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:38,295.53,57.96,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:38,295.53,57.96,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:39,295.52,57.97,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:39,295.53,57.98,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:40,295.53,57.97,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:40,295.52,57.97,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:41,295.52,57.97,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:42,295.53,57.97,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:42,295.52,57.97,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:43,295.53,57.97,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:43,295.53,57.97,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:44,295.52,57.97,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:44,295.53,57.97,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:45,295.53,57.98,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:45,295.52,57.97,81556,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:46,295.53,57.97,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:46,295.52,57.97,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:47,295.53,57.97,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:47,295.53,57.98,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:48,295.53,57.97,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:48,295.53,57.97,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:49,295.53,57.97,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:50,295.53,57.97,81549,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:50,295.53,57.97,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:51,295.53,57.97,81548,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:51,295.53,57.97,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:52,295.53,57.97,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:52,295.53,57.97,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:53,295.53,57.97,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:53,295.53,57.97,81549,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:54,295.54,57.97,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:54,295.53,57.97,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:55,295.53,57.97,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:55,295.53,57.97,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:56,295.53,57.97,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:56,295.53,57.98,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:57,295.54,57.98,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:57,295.53,57.98,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:58,295.53,57.98,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:59,295.53,57.98,81549,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:36:59,295.53,57.98,81548,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:00,295.54,57.98,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:00,295.53,57.98,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:01,295.53,57.98,81546,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:01,295.53,57.99,81548,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:02,295.53,57.99,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:02,295.53,57.99,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:03,295.53,57.99,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:03,295.53,57.99,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:04,295.53,57.98,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:04,295.54,57.99,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:05,295.53,57.99,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:05,295.53,57.99,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:06,295.54,57.99,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:06,295.54,57.99,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:07,295.53,57.99,81556,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:08,295.53,57.99,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:08,295.53,57.99,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:09,295.54,57.98,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:09,295.53,57.98,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:10,295.53,57.99,81549,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:10,295.53,57.99,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:11,295.53,57.99,81549,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:11,295.53,58.0,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:12,295.53,57.99,81549,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:12,295.54,57.99,81549,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:13,295.53,57.99,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:13,295.54,57.99,81548,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:14,295.53,57.98,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:14,295.53,57.99,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:15,295.53,57.99,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:16,295.53,57.99,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:16,295.53,57.99,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:17,295.53,57.99,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:17,295.53,57.99,81548,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:18,295.54,57.99,81556,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:18,295.54,57.99,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:19,295.53,57.99,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:19,295.55,57.99,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:20,295.53,57.99,81549,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:20,295.53,57.99,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:21,295.54,57.99,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:21,295.53,57.99,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:22,295.55,58.0,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:22,295.53,57.98,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:23,295.53,57.99,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:23,295.53,58.0,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:24,295.53,57.99,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:25,295.53,57.99,81549,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:25,295.54,58.0,81548,24:D7:EB:59:2E:30,NuevoAlias
